                                      List of relations
 Schema |                Name                 | Type  |   Owner    |          Table           
--------+-------------------------------------+-------+------------+--------------------------
 public | analysis_pkey                       | index | cyberintel | analysis
 public | campaigns_name_key                  | index | cyberintel | campaigns
 public | campaigns_pkey                      | index | cyberintel | campaigns
 public | case_iocs_case_id_ioc_id_key        | index | cyberintel | case_iocs
 public | case_iocs_pkey                      | index | cyberintel | case_iocs
 public | cases_pkey                          | index | cyberintel | cases
 public | enrichment_job_baselines_pkey       | index | cyberintel | enrichment_job_baselines
 public | enrichment_job_events_pkey          | index | cyberintel | enrichment_job_events
 public | enrichment_jobs_pkey                | index | cyberintel | enrichment_jobs
 public | feeds_pkey                          | index | cyberintel | feeds
 public | idx_campaigns_active                | index | cyberintel | campaigns
 public | idx_campaigns_name                  | index | cyberintel | campaigns
 public | idx_case_iocs_case_id               | index | cyberintel | case_iocs
 public | idx_case_iocs_ioc_id                | index | cyberintel | case_iocs
 public | idx_enrichment_events_created_at    | index | cyberintel | enrichment_job_events
 public | idx_enrichment_events_job_id        | index | cyberintel | enrichment_job_events
 public | idx_enrichment_jobs_created_at      | index | cyberintel | enrichment_jobs
 public | idx_enrichment_jobs_last_activity   | index | cyberintel | enrichment_jobs
 public | idx_enrichment_jobs_provider_status | index | cyberintel | enrichment_jobs
 public | idx_enrichment_jobs_status          | index | cyberintel | enrichment_jobs
 public | idx_events_job_id                   | index | cyberintel | enrichment_job_events
 public | idx_feeds_source_id                 | index | cyberintel | feeds
 public | idx_ioc_tags_ioc_id                 | index | cyberintel | ioc_tags
 public | idx_ioc_tags_tag_id                 | index | cyberintel | ioc_tags
 public | idx_ioc_types_name                  | index | cyberintel | ioc_types
 public | idx_iocs_analysis                   | index | cyberintel | iocs
 public | idx_iocs_campaign                   | index | cyberintel | iocs
 public | idx_iocs_estado                     | index | cyberintel | iocs
 public | idx_iocs_fecha                      | index | cyberintel | iocs
 public | idx_iocs_malware_family             | index | cyberintel | iocs
 public | idx_iocs_score                      | index | cyberintel | iocs
 public | idx_iocs_tipo                       | index | cyberintel | iocs
 public | idx_iocs_tipo_estado                | index | cyberintel | iocs
 public | idx_iocs_ultima_consulta            | index | cyberintel | iocs
 public | idx_jobs_status                     | index | cyberintel | enrichment_jobs
 public | idx_malware_name                    | index | cyberintel | malware
 public | idx_relationships_source            | index | cyberintel | ioc_relationships
 public | idx_relationships_target            | index | cyberintel | ioc_relationships
 public | idx_sightings_ioc_id                | index | cyberintel | sightings
 public | idx_sightings_seen_at               | index | cyberintel | sightings
 public | idx_sources_enabled                 | index | cyberintel | sources
 public | idx_threat_actors_name              | index | cyberintel | threat_actors
 public | ioc_relationships_pkey              | index | cyberintel | ioc_relationships
 public | ioc_tags_ioc_id_tag_id_key          | index | cyberintel | ioc_tags
 public | ioc_tags_pkey                       | index | cyberintel | ioc_tags
 public | ioc_types_name_key                  | index | cyberintel | ioc_types
 public | ioc_types_pkey                      | index | cyberintel | ioc_types
 public | iocs_pkey                           | index | cyberintel | iocs
 public | iocs_valor_key                      | index | cyberintel | iocs
 public | malware_name_key                    | index | cyberintel | malware
 public | malware_pkey                        | index | cyberintel | malware
 public | sightings_pkey                      | index | cyberintel | sightings
 public | sources_name_key                    | index | cyberintel | sources
 public | sources_pkey                        | index | cyberintel | sources
 public | tags_name_key                       | index | cyberintel | tags
 public | tags_pkey                           | index | cyberintel | tags
 public | threat_actors_name_key              | index | cyberintel | threat_actors
 public | threat_actors_pkey                  | index | cyberintel | threat_actors
(58 rows)

